name,rank,score
勇闯夺命岛,194,8.5
末路狂花,195,8.7
荒野生存,196,8.6
卡萨布兰卡,197,8.6
青蛇,198,8.4
终结者2：审判日,199,8.5
忠犬八公物语,200,9.0
哪吒闹海,201,8.8
这个男人来自地球,202,8.5
燕尾蝶,203,8.6
变脸,204,8.4
源代码,205,8.3
英国病人,206,8.4
E.T. 外星人,207,8.5
新龙门客栈,208,8.4
黄金三镖客,209,9.1
发条橙,210,8.4
黑客帝国3：矩阵革命,211,8.5
美国丽人,212,8.4
城市之光,213,9.2
叫我第一名,214,8.6
穆赫兰道,215,8.3
无耻混蛋,216,8.4
非常嫌疑犯,217,8.6
初恋这件小事,218,8.3
勇士,219,8.9
上帝也疯狂,220,8.6
模仿游戏,221,8.5
蓝色大门,222,8.3
爱·回家,223,9.0
无敌破坏王,224,8.6
大卫·戈尔的一生,225,8.7
血钻,226,8.5
爱在午夜降临前,227,8.8
国王的演讲,228,8.3
曾经,229,8.3
麦兜故事,230,8.5
枪火,231,8.6
疯狂的石头,232,8.2
暖暖内含光,233,8.4
遗愿清单,234,8.5
千钧一发,235,8.7
房间,236,8.8
蝴蝶,237,8.6
荒岛余生,238,8.5
巴黎淘气帮,239,8.6
与狼共舞,240,8.9
头脑特工队,241,8.7
偷拐抢骗,242,8.5
月球,243,8.5
我爱你,244,9.0
夜访吸血鬼,245,8.3
彗星来的那一夜,246,8.4
寿司之神,247,8.8
步履不停,248,8.8
看不见的客人,249,8.7
廊桥遗梦,250,8.6
